127.0.0.1 - - [19/Dec/2021:15:37:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/market/left_title.gif HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/menu/6.jpg HTTP/1.1" 200 13082
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/market/sub01_title.gif HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/market/btn01.gif HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/market/img01.jpg HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/market/btn02.gif HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:14 +0900] "GET /WebSiteProject/images/market/bg01.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/space/sub01.jsp HTTP/1.1" 200 8724
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/bootstrap3.3.7/js/bootstrap.min.js HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/bootstrap3.3.7/css/bootstrap.min.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/bootstrap3.3.7/jquery/jquery-3.2.1.min.js HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/bootstrap3.3.7/js/bootstrap.min.js HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/images/space/sub_image.jpg HTTP/1.1" 200 57663
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/images/space/left_title.gif HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:54:21 +0900] "GET /WebSiteProject/images/space/sub01_title.gif HTTP/1.1" 200 1563
